formatted_date,high,low,open,close,volume,adjclose
2014-12-04,2077.34,2062.34,2073.64,2071.92,3408340000,2071.92
2014-12-05,2079.47,2070.81,2072.78,2075.37,3419620000,2075.37
2014-12-08,2075.78,2054.27,2074.84,2060.31,3800990000,2060.31
2014-12-09,2060.6,2034.17,2056.55,2059.82,3970150000,2059.82
2014-12-10,2058.86,2024.26,2058.86,2026.14,4114440000,2026.14
2014-12-11,2055.53,2027.92,2027.92,2035.33,3917950000,2035.33
2014-12-12,2032.25,2002.33,2030.36,2002.33,4157650000,2002.33
2014-12-15,2018.69,1982.26,2005.03,1989.63,4361990000,1989.63
2014-12-16,2016.89,1972.56,1986.71,1972.74,4958680000,1972.74
2014-12-17,2016.75,1973.77,1973.77,2012.89,4942370000,2012.89
2014-12-18,2061.23,2018.98,2018.98,2061.23,4703380000,2061.23
2014-12-19,2077.85,2061.03,2061.04,2070.65,6465530000,2070.65
2014-12-22,2078.76,2069.28,2069.28,2078.54,3369520000,2078.54
2014-12-23,2086.73,2079.77,2081.48,2082.17,3043950000,2082.17
2014-12-24,2087.56,2081.86,2083.25,2081.88,1416980000,2081.88
2014-12-26,2092.7,2084.3,2084.3,2088.77,1735230000,2088.77
2014-12-29,2093.55,2085.75,2087.63,2090.57,2452360000,2090.57
2014-12-30,2088.49,2079.53,2088.49,2080.35,2440280000,2080.35
2014-12-31,2085.58,2057.94,2082.11,2058.9,2606070000,2058.9
2015-01-02,2072.36,2046.04,2058.9,2058.2,2708700000,2058.2
2015-01-05,2054.44,2017.34,2054.44,2020.58,3799120000,2020.58
2015-01-06,2030.25,1992.44,2022.15,2002.61,4460110000,2002.61
2015-01-07,2029.61,2005.55,2005.55,2025.9,3805480000,2025.9
2015-01-08,2064.08,2030.61,2030.61,2062.14,3934010000,2062.14
2015-01-09,2064.43,2038.33,2063.45,2044.81,3364140000,2044.81
2015-01-12,2049.3,2022.58,2046.13,2028.26,3456460000,2028.26
2015-01-13,2056.93,2008.25,2031.58,2023.03,4107300000,2023.03
2015-01-14,2018.4,1988.44,2018.4,2011.27,4378680000,2011.27
2015-01-15,2021.35,1991.47,2013.75,1992.67,4276720000,1992.67
2015-01-16,2020.46,1988.12,1992.25,2019.42,4056410000,2019.42
2015-01-20,2028.94,2004.49,2020.76,2022.55,3944340000,2022.55
2015-01-21,2038.29,2012.04,2020.19,2032.12,3730070000,2032.12
2015-01-22,2064.62,2026.38,2034.3,2063.15,4176050000,2063.15
2015-01-23,2062.98,2050.54,2062.98,2051.82,3573560000,2051.82
2015-01-26,2057.62,2040.97,2050.42,2057.09,3465760000,2057.09
2015-01-27,2047.86,2019.91,2047.86,2029.55,3329810000,2029.55
2015-01-28,2042.49,2001.49,2032.34,2002.16,4067530000,2002.16
2015-01-29,2024.64,1989.18,2002.45,2021.25,4127140000,2021.25
2015-01-30,2023.32,1993.38,2019.35,1994.99,4568650000,1994.99
2015-02-02,2021.66,1980.9,1996.67,2020.85,4008330000,2020.85
2015-02-03,2050.3,2022.71,2022.71,2050.03,4615900000,2050.03
2015-02-04,2054.74,2036.72,2048.86,2041.51,4141920000,2041.51
2015-02-05,2063.55,2043.45,2043.45,2062.52,3821990000,2062.52
2015-02-06,2072.4,2049.97,2062.28,2055.47,4232970000,2055.47
2015-02-09,2056.16,2041.88,2053.47,2046.74,3549540000,2046.74
2015-02-10,2070.86,2048.62,2049.38,2068.59,3669850000,2068.59
2015-02-11,2073.48,2057.99,2068.55,2068.53,3596860000,2068.53
2015-02-12,2088.53,2069.98,2069.98,2088.48,3788350000,2088.48
2015-02-13,2097.03,2086.7,2088.78,2096.99,3527450000,2096.99
2015-02-17,2101.3,2089.8,2096.47,2100.34,3361750000,2100.34
2015-02-18,2100.23,2092.15,2099.16,2099.68,3370020000,2099.68
2015-02-19,2102.13,2090.79,2099.25,2097.45,3247100000,2097.45
2015-02-20,2110.61,2085.44,2097.65,2110.3,3281600000,2110.3
2015-02-23,2110.05,2103.0,2109.83,2109.66,3093680000,2109.66
2015-02-24,2117.94,2105.87,2109.1,2115.48,3199840000,2115.48
2015-02-25,2119.59,2109.89,2115.3,2113.86,3312340000,2113.86
2015-02-26,2113.91,2103.76,2113.91,2110.74,3408690000,2110.74
2015-02-27,2112.74,2103.75,2110.88,2104.5,3547380000,2104.5
2015-03-02,2117.52,2104.5,2105.23,2117.39,3409490000,2117.39
2015-03-03,2115.76,2098.26,2115.76,2107.78,3262300000,2107.78
2015-03-04,2107.72,2094.49,2107.72,2098.53,3421110000,2098.53
2015-03-05,2104.25,2095.22,2098.54,2101.04,3103030000,2101.04
2015-03-06,2100.91,2067.27,2100.91,2071.26,3853570000,2071.26
2015-03-09,2083.49,2072.21,2072.25,2079.43,3349090000,2079.43
2015-03-10,2076.14,2044.16,2076.14,2044.16,3668900000,2044.16
2015-03-11,2050.08,2039.69,2044.69,2040.24,3406570000,2040.24
2015-03-12,2066.41,2041.1,2041.1,2065.95,3405860000,2065.95
2015-03-13,2064.56,2041.17,2064.56,2053.4,3498560000,2053.4
2015-03-16,2081.41,2055.35,2055.35,2081.19,3295600000,2081.19
2015-03-17,2080.59,2065.08,2080.59,2074.28,3221840000,2074.28
2015-03-18,2106.85,2061.23,2072.84,2099.5,4128210000,2099.5
2015-03-19,2098.69,2085.56,2098.69,2089.27,3305220000,2089.27
2015-03-20,2113.92,2090.32,2090.32,2108.1,5554120000,2108.1
2015-03-23,2114.86,2104.42,2107.99,2104.42,3267960000,2104.42
2015-03-24,2107.63,2091.5,2103.94,2091.5,3189820000,2091.5
2015-03-25,2097.43,2061.05,2093.1,2061.05,3521140000,2061.05
2015-03-26,2067.15,2045.5,2059.94,2056.15,3510670000,2056.15
2015-03-27,2062.83,2052.96,2055.78,2061.02,3008550000,2061.02
2015-03-30,2088.97,2064.11,2064.11,2086.24,2917690000,2086.24
2015-03-31,2084.05,2067.04,2084.05,2067.89,3376550000,2067.89
2015-04-01,2067.63,2048.38,2067.63,2059.69,3543270000,2059.69
2015-04-02,2072.17,2057.32,2060.03,2066.96,3095960000,2066.96
2015-04-06,2086.99,2056.52,2064.87,2080.62,3302970000,2080.62
2015-04-07,2089.81,2076.1,2080.79,2076.33,3065510000,2076.33
2015-04-08,2086.69,2073.3,2076.94,2081.9,3265330000,2081.9
2015-04-09,2093.31,2074.29,2081.29,2091.18,3172360000,2091.18
2015-04-10,2102.61,2091.51,2091.51,2102.06,3156200000,2102.06
